"ID","CM_ID","TIME_SERIES_NAME","TS_ID","RELATIVE_ORDER","CM_ASSOCIATION","CM_CALCULATION_HORIZON","IS_OVERRIDE","EXPRESSION","EXPRESSION_NAME","RELATIVE_PERIOD_POSITION","CM_CALCULATION_PLANE","RECURSES_ON","MATH_EXPRESSION_TYPE","IS_DEPENDENT_ON_ETL","IS_NDCOUNT_PRESENT","IS_IPERIOD_PRESENT","CALENDAR_SUM_USED","PLANE_ID","TRIGGERING_EVENT","CONFIG_VERSION_ID","AUDIT_ID"
898,1664,TS79,79,28,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
899,1665,TS80,80,36,POST_INDEPENDENT,"27",1,/* case when (ePeriodId1 = iPeriodId) then */ value1 /* when (ePeriodId1 > iPeriodId) then */ value2 /* else */ 0 /* end */,curr_period_vs_roll_period_1,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
900,1666,TS81,81,44,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
901,1667,TS82,82,65,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
902,1668,TS83,83,73,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
903,1669,TS84,84,81,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
904,1670,TS85,85,89,POST_DEPENDENT,"27",0,/* case when (value1) > 0.00001 then */ (value1 * value2) / 30 /* else */ 0 /* end */,dailyavgv1,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
905,1671,TS86,86,97,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
906,1672,TS87,87,105,DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
907,1673,TS88,88,113,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
